ItemID	Title	Authors	Year
64	Told after Supper	Jerome, Jerome Klapka	1891
65	Night and Day	Woolf, Virginia	1919
66	A Group of Noble Dames	Hardy, Thomas	1891
67	The London Mercury		
68	The Filigree Ball: Being a Full and True Account of the Solution of the Mystery Concerning the Jeffrey-Moore Affair	Green, Anna Katharine	1903
69	The Hundredth Chance	Dell, Ethel M. (Ethel May)	1917
70	Three Lives	Stein, Gertrude	1909
71	Shanghaied	Norris, Frank	1920
72	Five Plays	Dunsany, Lord	1914
73	Virginibus Puerisque and Other Papers	Stevenson, Robert Louis	1881
74	Exiles	Joyce, James	1918
75	The Intermediate Sex	Carpenter, Edward	1908
76	The Other House: A Novel	James, Henry	1896
77	Six Short Plays	Galsworthy, John	1921
78	Married	Strindberg, August	1917
79	A Life of William Shakespeare	Lee, Sidney	1898
80	The Little Warrior	Wodehouse, P. G. (Pelham Grenville)	1920
81	Trivia	Smith, Logan Pearsall	1917
82	The Varieties of Religious Experience	James, William	1902
83	The Best Plays of John Ford	Ford, John	1888
84	Georgian Poetry		
85	Anne Severn and the Fieldings	Sinclair, May	1922
86	Mare Nostrum (Our Sea): A Novel	Blasco Ibáñez, Vincente	1919
87	Lord Jim	Conrad, Joseph	1900
88	Sailing Alone Around the World	Slocum, Joshua	1900
89	The Bridge of San Luis Rey	Wilder, Thornton	1927
90	Red Sky at Morning	Kennedy, Margaret	1927
91	Swan Song	Galsworthy, John	1928
92	Jalna	De la Roche, Mazo	1927
93	The Odyssey in Dublin	Damon, S. Foster (Samuel Foster)	1929
94	A Portrait of the Artist as a Young Man	Joyce, James	1916
95	Dubliners	Joyce, James	1914
96	Son of Woman: The Story of D. H. Lawrence	Murry, John Middleton	1931
97	In the American Grain	Williams, William Carlos	1925
98	Oberland (Pilgrimage 9)	Richardson, Dorothy M.	1927
99	Faust	Goethe, Johann Wolfgang von	
100	Lafcadio's Adventures	Gide, André	1925
101	Told by an Idiot	Macaulay, Rose	1923
102	Hound & Horn		
103	The Burning Cactus	Spender, Stephen	1936
104	New Masses		
105	The Best Short Stories		
106	Sparkenbroke	Morgan, Charles	1936
107	St. Ignatius		
108	The Education of Hyman Kaplan	Rosten, Leo	1937
109	The Summing Up	Maugham, William Somerset	1938
110	Reaching for the Stars	Waln, Nora	1939
111	Babbitt	Lewis, Sinclair	1922
112	A Prayer for My Son	Walpole, Hugh	1936
113	Best Crime Stories		1934
114	Bird Alone	O'Faoláin, Sean	1936
115	Letters of Jane Austen	Austen, Jane	1884
116	Unforgotten Years	Smith, Logan Pearsall	1938
117	Seven Pillars of Wisdom	Lawrence, T. E. (Thomas Edward)	1935
118	The Portrait of a Lady	James, Henry	1881
119	The Dynasts	Hardy, Thomas	1904
120	The Story of My Heart: My Autobiography	Jefferies, Richard	1883
121	A Woman Killed with Kindness	Heywood, Thomas	
122	The Letters from Dorothy Osborne to Sir William Temple	Osborne, Dorothy	
123	Helen with the High Hand	Bennett, Arnold	1910
124	The Card: A Story of Adventure in the Five Towns	Bennett, Arnold	1911
125	The Life and Adventures of Peter Wilkins	Paltock, Robert	1751
126	Beowulf		
127	A Shepherd's Life	Hudson, W. H. (William Henry)	1910
128	Pointed Roofs (Pilgrimage 1)	Richardson, Dorothy M.	1915
129	Black Boy	Wright, Richard	1937
130	Plume: Précédé de lointain intérieur	Michaux, Henri	1938
131	As I Lay Dying	Faulkner, William	1930
132	A Farewell to Arms	Hemingway, Ernest	1929
133	Cassell's French-English, English-French Dictionary		1921
134	The Cocktail Party: A Comedy	Eliot, T. S. (Thomas Stearns)	1950
135	Toussaint-Louverture	Vaucaire, Michel	1930
136	La vie et l'habitude	Butler, Samuel	1922
137	J. -J. Rousseau	Lamartine, Alphonse de	1866
138	La chanson du vieux marin	Coleridge, Samuel Taylor	1911
139	Hautes et basses classes en Italie	Landor, Walter Savage	1911
140	Lettres à André Gide	Larbaud, Valery	1948
141	Confluences		
142	La mort	Maeterlinck, Maurice	1913
143	The American Novel To-Day: A Social and Psychological Study	Michaud, Régis	1928
144	Sanskrit Literature		
145	Marlowe		
146	The Ghost	Bennett, Arnold	1907
147	Buried Alive	Bennett, Arnold	1908
148	Queen Victoria		
149	The Queen of China and Other Poems	Shanks, Edward	1919
150	Speculations: Essays on Humanism and the Philosophy of Art	Hulme, T. E.	1924
151	A Hazard of New Fortunes	Howells, William Dean	1890
152	Kipps: The Story of A Simple Soul	Wells, H. G. (Herbert George)	1905
153	The Gentle Art of Making Enemies	Whistler, James McNeill	1890
154	The Landlord at Lion's Head: A Novel	Howells, William Dean	1896
155	Mrs. Rorer's New Cook Book: A Manual of Housekeeping	Rorer, Sarah Tyson	1911
156	Boston Cooking-School Cook Book	Farmer, Fannie Merritt	1896
157	Indian Summer	Howells, William Dean	1886
158	A Foregone Conclusion	Howells, William Dean	1874
159	Dr. Breen's Practice	Howells, William Dean	1881
160	Work in Progress	Joyce, James	1927
161	The Little Lady of the Big House	London, Jack	1915
162	Mourning Becomes Electra	O'Neill, Eugene	1931
163	The Turn of the Screw	James, Henry	1898
164	Strange Interlude	O'Neill, Eugene	1928
165	The Cutting of an Agate	Yeats, William Butler	1912
166	Jack London Book		
167	The Problem Club	Pain, Barry	1920
168	Kipling		
169	The Humour of Homer and Other Essays	Butler, Samuel	1914
170	Vogue's Book of Etiquette		
171	Arrowsmith	Lewis, Sinclair	1925
172	The Necessity of Communism	Murry, John Middleton	1932
173	Vital Peace: A Study of Risks	Steed, Henry Wickham	1936
174	Juan in America	Linklater, Eric	1931
175	Deliverance		
176	The Death of the Heart	Bowen, Elizabeth	1938
177	Yellow Fairy Book	Lang, Andrew	1894
178	A Wonder-Book for Girls and Boys	Hawthorne, Nathaniel	1851
179	Mother Goose		
180	Headlong Hall	Peacock, Thomas Love	1816
181	Lady Chatterley's Lover	Lawrence, D. H. (David Herbert)	1928
182	Winchester House	Green, Anne	1936
183	The Untilled Field	Moore, George	1903
184	The Lake	Moore, George	1905
185	Muslin	Moore, George	1915
186	Lewis Seymour and Some Women	Moore, George	1916
187	The Growth of the Soul	Sinnett, A. P. (Alfred Percy)	1918
188	The Divorce Court Murder	Propper, Milton M.	1934
189	And Even Now	Beerbohm, Max	1920
190	Letters of Mark Twain, pseud. of Samuel Langhorne Clemens: With a Biographical Sketch and Commentary	Twain, Mark	1920
191	Let Your Mind Alone!	Thurber, James	1937
192	Coming, Sir!: The Autobiography of a Waiter	Marlowe, Dave	1937
193	An American Tragedy	Dreiser, Theodore	1925
194	The Scarlet Letter	Hawthorne, Nathaniel	1850
195	The White Devil	Webster, John	1612
196	[unclear]ile		
197	Some People	Nicolson, Harold George	1926
198	Villette	Brontë, Charlotte	1853
199	The Professor	Brontë, Charlotte	1857
200	Two or Three Graces and Other Stories	Huxley, Aldous	1926
201	Old Calabria	Douglas, Norman (George Norman)	1915
202	Three Men in a Boat (To Say Nothing of the Dog)	Jerome, Jerome Klapka	1889
203	De Profundis	Wilde, Oscar	1905
204	Diana of the Crossways	Meredith, George	1885
205	The Trumpet-Major	Hardy, Thomas	1880
206	Roderick Hudson	James, Henry	1875
207	Characters of Shakespeare's Plays	Hazlitt, William	1817
208	Many Inventions	Kipling, Rudyard	1893
209	The Passionate Friends	Wells, H. G. (Herbert George)	1913
210	Pigs Is Pigs	Butler, Ellis Parker	1906
211	Wuthering Heights	Brontë, Emily	1847
212	Playboy: A Portfolio of Art and Satire		
213	Heartbreak House: A Fantasia in the Russian Manner on English Themes	Shaw, George Bernard	1919
214	Fifty-One Tales	Dunsany, Lord	1915
215	The Picture of Dorian Grey	Wilde, Oscar	1890
216	Intentions	Wilde, Oscar	1891
217	Japan: An Attempt at Interpretation	Hearn, Lafcadio	1904
218	Oscar Wilde: A Critical Study	Ransome, Arthur	1912
219	Idyls of the Foothills: In Prose and Verse	Harte, Bret	1874
220	Deirdre		
221	Shelley	Thompson, Francis	1908
222	Sister Carrie	Dreiser, Theodore	1900
223	Spoon River Anthology	Masters, Edgar Lee	1914
224	The Shadow Line: A Confession	Conrad, Joseph	1917
225	Bab Ballads	Gilbert, W. S. (William Schwenck)	1904
226	Van Bibber and Others	Davis, Richard Harding	1892
227	Uncle Remus: His Songs and His Sayings	Harris, Joel Chandler	1880
228	A Diversity of Creatures	Kipling, Rudyard	1917
229	Letters of a Japanese Schoolboy	Irwin, Wallace	1909
230	A Tarpaulin Muster	Masefield, John	1907
231	Confessions of an English Opium Eater	de Quincey, Thomas	1821
232	The Four Million	Henry, O. (William Sydney Porter)	1906
233	William Blake: The Man	Gardner, Charles	1919
234	The Story of Yone Noguchi: Told by Himself	Noguchi, Yoné	1915
235	The American Diary of a Japanese Girl	Noguchi, Yoné	1902
236	Youth: A Narrative	Conrad, Joseph	1902
237	William Blake	Symons, Arthur	1907
238	The Princess Casamassima	James, Henry	1886
239	'Twixt Land and Sea	Conrad, Joseph	1912
240	Jude the Obscure	Hardy, Thomas	1895
241	Addresses in America, 1919	Galsworthy, John	1919
242	Joseph Conrad	Walpole, Hugh	1916
243	Charles Dickens: A Critical Study	Chesterton, G. K. (Gilbert Keith)	1906
244	The Jungle Book	Kipling, Rudyard	1894
245	The Liberator		
246	Yeats		
247	The Awkward Age	James, Henry	1899
248	The Life and Letters of Lafcadio Hearn	Bisland, Elizabeth	1906
249	The Titan	Dreiser, Theodore	1914
250	Options	Henry, O. (William Sydney Porter)	1909
251	Fanny's First Play	Shaw, George Bernard	1917
252	The New Poetry: Anthology of Twentieth Century Verse in English		1920
253	Marius the Epicurean	Pater, Walter	1885
254	The Paliser Case	Saltus, Edgar	1919
255	Erewhon	Butler, Samuel	1872
256	Mary, Mary	Stephens, James	1912
257	The Light That Failed	Kipling, Rudyard	1891
258	The Autobiography of a Super-Tramp	Davies, W. H. (William Henry)	1908
259	Oliver Twist	Dickens, Charles	1837
260	The Economic Consequences of the Peace	Keynes, John Maynard	1919
261	The Victorian Age in Literature	Chesterton, G. K. (Gilbert Keith)	1913
262	The Nigger of the Narcissus	Conrad, Joseph	1897
263	Leaves of Grass	Whitman, Walt	
264	Jennie Gerhardt	Dreiser, Theodore	1911
265	The Way of All Flesh	Butler, Samuel	1903
266	Orthodoxy	Chesterton, G. K. (Gilbert Keith)	1908
267	The Return of the Native	Hardy, Thomas	1878
268	Selections from A. C. Swinburne	Swinburne, Algernon Charles	1919
269	P. T. Barnum		
270	The Prestons	Vorse, Mary Heaton	1918
271	Kim	Kipling, Rudyard	1901
272	Heretics	Chesterton, G. K. (Gilbert Keith)	1905
273	Totem and Taboo	Freud, Sigmund	1913
274	Desperate Remedies	Hardy, Thomas	1871
275	Just So Stories	Kipling, Rudyard	1902
276	My Second Country (France)	Dell, Robert	1920
277	Cock Lane and Common-Sense	Lang, Andrew	1894
278	Margot's Progress	Goldring, Douglas	1916
279	Pavannes and Divisions	Pound, Ezra	1918
280	John Barleycorn	London, Jack	1913
281	George Gissing: A Critical Study	Swinnerton, Frank	1912
282	The Mob	Galsworthy, John	1914
283	J. M. Synge		
284	Under the Greenwood Tree	Hardy, Thomas	1872
285	Evan Harrington	Meredith, George	1861
286	Nocturne	Swinnerton, Frank	1917
287	Plays, Acting, and Music	Symons, Arthur	1903
288	The Story of an African Farm	Schreiner, Olive	1883
289	A Love in Ancient Days	Crosfield, Truda H.	1908
290	Schoolboys and Exiles	Elton, Godfrey, Baron	1919
291	Robert and Elizabeth Browning		
292	The Letters of George Meredith	Meredith, George	1912
293	Howells	Howells, William Dean	
294	Trooper Peter Halket of Mashonaland	Schreiner, Olive	1897
295	The Spoils of Poynton	James, Henry	1897
296	The Old Curiosity Shop	Dickens, Charles	1841
297	Justice	Galsworthy, John	1910
298	Thomas Hardy: A Critical Study	Abercrombie, Lascelles	1912
299	She: A History of Adventure	Haggard, H. Rider	1887
300	Lord Ormont and His Aminta	Meredith, George	1894
301	The Three Black Pennys	Hergesheimer, Joseph	1917
302	The Mark on the Wall	Woolf, Virginia	1919
303	Kew Gardens	Woolf, Virginia	1919
304	Plays: Fourth Series	Galsworthy, John	1920
305	Linda Condon	Hergesheimer, Joseph	1919
306	Adventure	London, Jack	1911
307	Gissing		
308	The Aspern Papers	James, Henry	1888
309	De Quincey Autobiography	de Quincey, Thomas	
310	Some Diversions of a Man of Letters	Gosse, Edmund	1919
311	The Little Man, and Other Satires	Galsworthy, John	1915
312	A Laodicean: A Story of To-day	Hardy, Thomas	1881
313	The European Anarchy	Dickinson, G. (Goldsworthy) Lowes	1916
314	Henry James	West, Rebecca	1916
315	The Listeners, and Other Poems	De la Mare, Walter	1912
316	On the Origin of Species	Darwin, Charles	1859
317	A Dark Lantern: A Story with a Prologue	Robins, Elizabeth	1905
318	Their Mutual Child	Wodehouse, P. G. (Pelham Grenville)	1919
319	The Human Machine	Bennett, Arnold	1908
320	The Philanderer	Shaw, George Bernard	1905
321	A Changed Man	Hardy, Thomas	1913
322	Saint's Progress	Galsworthy, John	1920
323	John Galsworthy		
324	The Renaissance		
325	The Destiny of Man, Viewed in the Light of His Origin	Fiske, John	1884
326	Equality Island	Soutar, Andrew	1919
327	The Undiscovered Country	Howells, William Dean	1880
328	Darkwater: Voices from Within the Veil	Du Bois, W. E. B. (William Edward Burghardt)	1920
329	The Shadow		
330	The Adventures of Huckleberry Finn	Twain, Mark	1884
331	Arthur Symons		
332	Birds in Town and Village	Hudson, W. H. (William Henry)	1920
333	Tales of Wonder	Dunsany, Lord	1916
334	Chamber Music	Joyce, James	1907
335	Father and Son: A Study of Two Temperaments	Gosse, Edmund	1907
336	While Paris Laughed: Being Pranks and Passions of the Poet Tricotrin	Merrick, Leonard	1918
337	Erewhon Revisited: Twenty Years Later, Both by the Original Discoverer of the Country and by His Son	Butler, Samuel	1901
338	Peacock Pie: A Book of Rhymes	De la Mare, Walter	1920
339	When Love Flies Out o' the Window	Merrick, Leonard	1919
340	The Old Wives' Tale	Bennett, Arnold	1908
341	The Idea of God as Affected by Modern Knowledge	Fiske, John	1885
342	Modern Problems: A Discussion of Debatable Subjects	Lodge, Oliver	1912
343	Mr. Britling Sees It Through	Wells, H. G. (Herbert George)	1916
344	A Hundred and Seventy Chinese Poems		1918
345	The Egoist	Meredith, George	1879
346	Those United States	Bennett, Arnold	1912
347	The Angel and the Author, and Others	Jerome, Jerome Klapka	1904
348	Java Head	Hergesheimer, Joseph	1918
349	A Picked Company		
350	The Caravaners	Arnim, Elizabeth von (Mary Annette Beauchamp)	1909
351	In the Key of Blue and Other Prose Essays	Symonds, John Addington	1896
352	The Exiles and Other Stories	Davis, Richard Harding	1894
353	Walt Whitman's Poems		
354	New Arabian Nights	Stevenson, Robert Louis	1882
355	Exultations	Pound, Ezra	1909
356	Lustra	Pound, Ezra	1916
357	The Dial		
358	The Young Visitors, or Mister Salteena's Plan	Ashford, Daisy	1919
359	Studio Book Number		
360	Limehouse Nights: Tales of Chinatown	Burke, Thomas	1916
361	The Passing of the Third Floor Back	Jerome, Jerome Klapka	1908
362	Mixed Company	Kennedy, Douglas D.	1917
363	Mrs. Warren's Daughter	Johnston, Harry Hamilton	1920
364	The Idle Thoughts of an Idle Fellow	Jerome, Jerome Klapka	1886
365	Quia Pauper Amavi	Pound, Ezra	1919
366	The Younger Generation	Houghton, Stanley	1910
367	The Night-Born	London, Jack	1913
368	Plays: Pleasant and Unpleasant	Shaw, George Bernard	1898
369	The Empty House		
370	The Rescue: A Romance of the Shallows	Conrad, Joseph	1920
371	Punch		
372	Emmy Lou: Her Book and Heart	Martin, George Madden	1903
373	Wee Willie Winkie and Other Child Stories	Kipling, Rudyard	1888
374	Androcles and the Lion	Shaw, George Bernard	1916
375	The Rape of the Lock	Pope, Alexander	1712
376	The Outline of History	Wells, H. G. (Herbert George)	1920
